ean,name,full_name,shelf_key,shelf_name,position,source_sheet,image_url,image_local,package_status,notes
4306517603595,Flair str 2,,flair,Flair,45,Flair_str_2,,fotki/placeholdery/4306517603595.jpg,miniatura_robocza,
4306517603540,Flair str 2,,flair,Flair,46,Flair_str_2,,fotki/placeholdery/4306517603540.jpg,miniatura_robocza,
4306517603557,Flair str 2,,flair,Flair,47,Flair_str_2,,fotki/placeholdery/4306517603557.jpg,miniatura_robocza,
4306517603601,Flair str 2,,flair,Flair,48,Flair_str_2,,fotki/placeholdery/4306517603601.jpg,miniatura_robocza,
4306517603618,Flair str 2,,flair,Flair,49,Flair_str_2,,fotki/placeholdery/4306517603618.jpg,miniatura_robocza,
4306517603625,Flair str 2,,flair,Flair,50,Flair_str_2,,fotki/placeholdery/4306517603625.jpg,miniatura_robocza,
4306517603625,Flair str 2,,flair,Flair,51,Flair_str_2,,fotki/placeholdery/4306517603625.jpg,miniatura_robocza,
4306517603823,Flair str 2,,flair,Flair,52,Flair_str_2,,fotki/placeholdery/4306517603823.jpg,miniatura_robocza,
4306517603847,Flair str 2,,flair,Flair,53,Flair_str_2,,fotki/placeholdery/4306517603847.jpg,miniatura_robocza,
4306517603854,Flair str 2,,flair,Flair,54,Flair_str_2,,fotki/placeholdery/4306517603854.jpg,miniatura_robocza,
4306517603861,Flair str 2,,flair,Flair,55,Flair_str_2,,fotki/placeholdery/4306517603861.jpg,miniatura_robocza,
4306517603649,Flair str 2,,flair,Flair,56,Flair_str_2,,fotki/placeholdery/4306517603649.jpg,miniatura_robocza,
4306517603663,Flair str 2,,flair,Flair,57,Flair_str_2,,fotki/placeholdery/4306517603663.jpg,miniatura_robocza,
4306517603687,Flair str 2,,flair,Flair,58,Flair_str_2,,fotki/placeholdery/4306517603687.jpg,miniatura_robocza,
4306517603960,Flair str 2,,flair,Flair,59,Flair_str_2,,fotki/placeholdery/4306517603960.jpg,miniatura_robocza,
4306517603977,Flair str 2,,flair,Flair,60,Flair_str_2,,fotki/placeholdery/4306517603977.jpg,miniatura_robocza,
4306517604004,Flair str 2,,flair,Flair,61,Flair_str_2,,fotki/placeholdery/4306517604004.jpg,miniatura_robocza,
4306517604011,Flair str 2,,flair,Flair,62,Flair_str_2,,fotki/placeholdery/4306517604011.jpg,miniatura_robocza,
4306517603984,Flair str 2,,flair,Flair,63,Flair_str_2,,fotki/placeholdery/4306517603984.jpg,miniatura_robocza,
4306517603885,Flair str 2,,flair,Flair,64,Flair_str_2,,fotki/placeholdery/4306517603885.jpg,miniatura_robocza,
4306517603908,Flair str 2,,flair,Flair,65,Flair_str_2,,fotki/placeholdery/4306517603908.jpg,miniatura_robocza,
4306517603786,Flair str 2,,flair,Flair,66,Flair_str_2,,fotki/placeholdery/4306517603786.jpg,miniatura_robocza,
4306517603809,Flair str 2,,flair,Flair,67,Flair_str_2,,fotki/placeholdery/4306517603809.jpg,miniatura_robocza,
4306517603700,Flair str 2,,flair,Flair,68,Flair_str_2,,fotki/placeholdery/4306517603700.jpg,miniatura_robocza,
4306517603717,Flair str 2,,flair,Flair,69,Flair_str_2,,fotki/placeholdery/4306517603717.jpg,miniatura_robocza,
4306517603724,Flair str 2,,flair,Flair,70,Flair_str_2,,fotki/placeholdery/4306517603724.jpg,miniatura_robocza,
4306517603724,Flair str 2,,flair,Flair,71,Flair_str_2,,fotki/placeholdery/4306517603724.jpg,miniatura_robocza,
4306517603731,Flair str 2,,flair,Flair,72,Flair_str_2,,fotki/placeholdery/4306517603731.jpg,miniatura_robocza,
4306517603748,Flair str 2,,flair,Flair,73,Flair_str_2,,fotki/placeholdery/4306517603748.jpg,miniatura_robocza,
4306517603779,Flair str 2,,flair,Flair,74,Flair_str_2,,fotki/placeholdery/4306517603779.jpg,miniatura_robocza,
4306517603922,Flair str 2,,flair,Flair,75,Flair_str_2,,fotki/placeholdery/4306517603922.jpg,miniatura_robocza,
4306517673946,Flair str 2,,flair,Flair,76,Flair_str_2,,fotki/placeholdery/4306517673946.jpg,miniatura_robocza,
4306517679514,Flair str 2,,flair,Flair,77,Flair_str_2,,fotki/placeholdery/4306517679514.jpg,miniatura_robocza,
4306517279521,Flair str 2,,flair,Flair,78,Flair_str_2,,fotki/placeholdery/4306517279521.jpg,miniatura_robocza,
4306517679538,Flair str 2,,flair,Flair,79,Flair_str_2,,fotki/placeholdery/4306517679538.jpg,miniatura_robocza,
4306517679491,Flair str 2,,flair,Flair,80,Flair_str_2,,fotki/placeholdery/4306517679491.jpg,miniatura_robocza,
4306517689507,Flair str 2,,flair,Flair,81,Flair_str_2,,fotki/placeholdery/4306517689507.jpg,miniatura_robocza,
4306514680367,Flair str 2,,flair,Flair,82,Flair_str_2,,fotki/placeholdery/4306514680367.jpg,miniatura_robocza,
4306517680381,Flair str 2,,flair,Flair,83,Flair_str_2,,fotki/placeholdery/4306517680381.jpg,miniatura_robocza,
4306517680404,Flair str 2,,flair,Flair,84,Flair_str_2,,fotki/placeholdery/4306517680404.jpg,miniatura_robocza,
4306517680428,Flair str 2,,flair,Flair,85,Flair_str_2,,fotki/placeholdery/4306517680428.jpg,miniatura_robocza,
4306517680442,Flair str 2,,flair,Flair,86,Flair_str_2,,fotki/placeholdery/4306517680442.jpg,miniatura_robocza,
8720169309548,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,1,Jarzeniowki_str_1,,fotki/placeholdery/8720169309548.jpg,miniatura_robocza,
8720169254565,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,2,Jarzeniowki_str_1,,fotki/placeholdery/8720169254565.jpg,miniatura_robocza,
8720169309586,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,3,Jarzeniowki_str_1,,fotki/placeholdery/8720169309586.jpg,miniatura_robocza,
8720169254602,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,4,Jarzeniowki_str_1,,fotki/placeholdery/8720169254602.jpg,miniatura_robocza,
8720169309562,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,5,Jarzeniowki_str_1,,fotki/placeholdery/8720169309562.jpg,miniatura_robocza,
8720169254589,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,6,Jarzeniowki_str_1,,fotki/placeholdery/8720169254589.jpg,miniatura_robocza,
8720169309609,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,7,Jarzeniowki_str_1,,fotki/placeholdery/8720169309609.jpg,miniatura_robocza,
8720169254626,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,8,Jarzeniowki_str_1,,fotki/placeholdery/8720169254626.jpg,miniatura_robocza,
5410288302393,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,9,Jarzeniowki_str_1,,fotki/placeholdery/5410288302393.jpg,miniatura_robocza,
5410288302977,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,10,Jarzeniowki_str_1,,fotki/placeholdery/5410288302977.jpg,miniatura_robocza,
4306517604417,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,11,Jarzeniowki_str_1,,fotki/placeholdery/4306517604417.jpg,miniatura_robocza,
4306517604455,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,12,Jarzeniowki_str_1,,fotki/placeholdery/4306517604455.jpg,miniatura_robocza,
4306517604493,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,13,Jarzeniowki_str_1,,fotki/placeholdery/4306517604493.jpg,miniatura_robocza,
4306517604431,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,14,Jarzeniowki_str_1,,fotki/placeholdery/4306517604431.jpg,miniatura_robocza,
4306517604479,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,15,Jarzeniowki_str_1,,fotki/placeholdery/4306517604479.jpg,miniatura_robocza,
5410288304516,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,16,Jarzeniowki_str_1,,fotki/placeholdery/5410288304516.jpg,miniatura_robocza,
5410288302731,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,17,Jarzeniowki_str_1,,fotki/placeholdery/5410288302731.jpg,miniatura_robocza,
5410288292755,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,18,Jarzeniowki_str_1,,fotki/placeholdery/5410288292755.jpg,miniatura_robocza,
5410288292779,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,19,Jarzeniowki_str_1,,fotki/placeholdery/5410288292779.jpg,miniatura_robocza,
5410288292748,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,20,Jarzeniowki_str_1,,fotki/placeholdery/5410288292748.jpg,miniatura_robocza,
5410288282762,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,21,Jarzeniowki_str_1,,fotki/placeholdery/5410288282762.jpg,miniatura_robocza,
5410288282786,Jarzeniowki str 1,,jarzeniowki,Jarzeniówki,22,Jarzeniowki_str_1,,fotki/placeholdery/5410288282786.jpg,miniatura_robocza,
8720169309500,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,23,Jarzeniowki_str_2,,fotki/placeholdery/8720169309500.jpg,miniatura_robocza,
8720169309524,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,24,Jarzeniowki_str_2,,fotki/placeholdery/8720169309524.jpg,miniatura_robocza,
5410288302362,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,25,Jarzeniowki_str_2,,fotki/placeholdery/5410288302362.jpg,miniatura_robocza,
