ean,status,local,source,size,page,error
4058075778818,ok,fotki/miniatury/4058075778818.jpg,https://www.ledvance.com/00_Free_To_Use/13070176/image-thumb__13070176__product_details_downloads/4058075778818_255_SH%20FC%20WIFI%20A60%209W%20DIM%20E27%203%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778818,
4058075778412,ok,fotki/miniatury/4058075778412.jpg,https://www.ledvance.com/00_Free_To_Use/13070071/image-thumb__13070071__product_details_downloads/4058075778412_255_SH%20FC%20WIFI%20A60%209W%20TW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778412,
4058075778832,ok,fotki/miniatury/4058075778832.jpg,https://www.ledvance.com/00_Free_To_Use/13070185/image-thumb__13070185__product_details_downloads/4058075778832_255_SH%20FC%20WIFI%20A60%209W%20TW%20E27%203%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778832,
4058075619012,ok,fotki/miniatury/4058075619012.jpg,https://www.ledvance.com/00_Free_To_Use/13018918/image-thumb__13018918__product_detail/4058075619012_290_SH%20FC%20WIFI%20A30D%204%205W%20RGBW%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075619012,
4058075778450,ok,fotki/miniatury/4058075778450.jpg,https://www.ledvance.com/00_Free_To_Use/13070079/image-thumb__13070079__product_details_downloads/4058075778450_255_SH%20FC%20WIFI%20A60%209W%20RGBW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778450,
4058075778870,ok,fotki/miniatury/4058075778870.jpg,https://www.ledvance.com/00_Free_To_Use/13070199/image-thumb__13070199__product_details_downloads/4058075778870_255_SH%20FC%20WIFI%20A60%209W%20RGBW%20E27%203%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778870,
4058075609716,ok,fotki/miniatury/4058075609716.jpg,https://www.ledvance.com/00_Free_To_Use/13017302/image-thumb__13017302__product_detail/4058075609716_290_SH%20FC%20WIFI%20A75D%207%205%20827%20GF%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075609716,
4058075778498,ok,fotki/miniatury/4058075778498.jpg,https://www.ledvance.com/00_Free_To_Use/13070100/image-thumb__13070100__product_details_downloads/4058075778498_255_SH%20FC%20WIFI%20A75%209%205W%20DIM%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778498,
4058075778511,ok,fotki/miniatury/4058075778511.jpg,https://www.ledvance.com/00_Free_To_Use/13070105/image-thumb__13070105__product_details_downloads/4058075778511_255_SH%20FC%20WIFI%20A75%209%205W%20TW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778511,
4058075778535,ok,fotki/miniatury/4058075778535.jpg,https://www.ledvance.com/00_Free_To_Use/13070113/image-thumb__13070113__product_details_downloads/4058075778535_255_SH%20FC%20WIFI%20A75%209%205W%20RGBW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778535,
4058075609730,ok,fotki/miniatury/4058075609730.jpg,https://www.ledvance.com/00_Free_To_Use/13017305/image-thumb__13017305__product_detail/4058075609730_290_SH%20FC%20WIFI%20A100D%2011%20827%20GF%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075609730,
4058075778672,ok,fotki/miniatury/4058075778672.jpg,https://www.ledvance.com/00_Free_To_Use/13070153/image-thumb__13070153__product_details_downloads/4058075778672_255_SH%20FC%20WIFI%20A100%2014W%20DIM%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778672,
4058075778979,ok,fotki/miniatury/4058075778979.jpg,https://www.ledvance.com/00_Free_To_Use/13070231/image-thumb__13070231__product_details_downloads/4058075778979_255_SH%20FC%20WIFI%20A100%2014W%20DIM%20E27%203%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778979,
4058075778702,ok,fotki/miniatury/4058075778702.jpg,https://www.ledvance.com/00_Free_To_Use/13070159/image-thumb__13070159__product_details_downloads/4058075778702_255_SH%20FC%20WIFI%20A100%2014W%20TW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778702,
4058075778726,ok,fotki/miniatury/4058075778726.jpg,https://www.ledvance.com/00_Free_To_Use/13070167/image-thumb__13070167__product_details_downloads/4058075778726_255_SH%20FC%20WIFI%20A100%2014W%20RGBW%20E27%201%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075778726,
4058075779013,ok,fotki/miniatury/4058075779013.jpg,https://www.ledvance.com/00_Free_To_Use/13070238/image-thumb__13070238__product_details_downloads/4058075779013_255_SH%20FC%20WIFI%20A100%2014W%20RGBW%20E27%203%20MiPRC.jpg,"(400, 400)",https://www.ledvance.com/gtin/4058075779013,
4058075609693,ok,fotki/miniatury/4058075609693.jpg,https://www.ledvance.com/00_Free_To_Use/13017298/image-thumb__13017298__product_detail/4058075609693_290_SH%20FC%20WIFI%20G53D%206%20824%20FIGD%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075609693,
4058075528291,ok,fotki/miniatury/4058075528291.jpg,https://www.ledvance.com/00_Free_To_Use/13017288/image-thumb__13017288__product_detail/4058075528291_290_SH%20FC%20WIFI%20G60D%206%20827%20FICL%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075528291,
4058075528277,ok,fotki/miniatury/4058075528277.jpg,https://www.ledvance.com/00_Free_To_Use/13017286/image-thumb__13017286__product_detail/4058075528277_290_SH%20FC%20WIFI%20E60D%206%20827%20FICL%20E27%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075528277,
4058075515932,ok,fotki/miniatury/4058075515932.jpg,https://www.ledvance.com/00_Free_To_Use/13021401/image-thumb__13021401__product_detail/4058075515932_290_SH%20FC%20WIFI%20FLEX%202M%20RGBTW%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075515932,
4058075523838,ok,fotki/miniatury/4058075523838.jpg,https://www.ledvance.com/00_Free_To_Use/13021399/image-thumb__13021399__product_detail/4058075523838_290_SH%20FC%20WIFI%20FLEX%201M%20EXT%20RGBTW%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075523838,
4058075504806,ok,fotki/miniatury/4058075504806.jpg,https://www.ledvance.com/00_Free_To_Use/13049258/image-thumb__13049258__product_detail/4058075504806_290_SH%20FC%20NEON%20FLEX%205M%20RGBTW%20MiPRC.webp,"(420, 420)",https://www.ledvance.com/gtin/4058075504806,
